1250, 0.001, 8.837426113;
1250, 0.005, 6.413848272;
1250, 0.01, 5.467206936;
1250, 0.05, 3.646970456;
1250, 0.1, 3.019993005;
1250, 0.5, 1.877216819;
1250, 1, 1.656368701;
1250, 5, 1.699939865;
1250, 10, 1.740503778;
3250, 0.001, 11.67060117;
3250, 0.005, 8.994043208;
3250, 0.01, 7.81699622;
3250, 0.05, 5.318786614;
3250, 0.1, 4.381762981;
3250, 0.5, 2.428921667;
3250, 1, 1.510932364;
3250, 5, 1.580140764;
3250, 10, 1.691545155;
5250, 0.001, 12.60989899;
5250, 0.005, 10.10113717;
5250, 0.01, 8.900734934;
5250, 0.05, 6.139688943;
5250, 0.1, 5.015459285;
5250, 0.5, 2.217879532;
5250, 1, 0.9511507561;
5250, 5, 1.536606318;
5250, 10, 1.673224057;
